date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:17:00	50/50	---MCZ	200	added ('OK')	text/plain	date:Tue,%2024%20Aug%202021%2017:14:29%20GMT	https://www.vasterad.com/robots.txt		(from )
12:17:00	29492/29492	---MCZ	200	added ('OK')	text/html	etag:W/%227334-5c097dbefc5a1%22	https://www.vasterad.com/themes/trizzy/	C:/Mis%20lugares%20Web/prueba/blogs5/www.vasterad.com/themes/trizzy/index.html	(from )
12:17:00	149157/149157	---MCZ	200	added ('OK')	text/css	etag:W/%225ac25ed2-246a5%22	https://www.vasterad.com/themes/trizzy/css/style.css	C:/Mis%20lugares%20Web/prueba/blogs5/www.vasterad.com/themes/trizzy/css/style.css	(from https://www.vasterad.com/themes/trizzy/)
12:17:00	2453/2453	---MCZ	200	added ('OK')	text/css	etag:W/%225a9dcb05-995%22	https://www.vasterad.com/themes/trizzy/css/colors/green.css	C:/Mis%20lugares%20Web/prueba/blogs5/www.vasterad.com/themes/trizzy/css/colors/green.css	(from https://www.vasterad.com/themes/trizzy/)
12:17:01	29492/29492	---MCZ	200	added ('OK')	text/html	etag:W/%22608203a2-7334%22	https://www.vasterad.com/themes/trizzy/index.html	C:/Mis%20lugares%20Web/prueba/blogs5/www.vasterad.com/themes/trizzy/index-2.html	(from https://www.vasterad.com/themes/trizzy/)
12:17:01	4244/4244	---M--	200	added ('OK')	image/png	etag:%2256d30c0d-1094%22	https://www.vasterad.com/themes/trizzy/images/logo.png	C:/Mis%20lugares%20Web/prueba/blogs5/www.vasterad.com/themes/trizzy/images/logo.png	(from https://www.vasterad.com/themes/trizzy/)
12:17:01	18132/18132	---MCZ	200	added ('OK')	text/html	etag:W/%22608203a8-46d4%22	https://www.vasterad.com/themes/trizzy/shopping-cart.html	C:/Mis%20lugares%20Web/prueba/blogs5/www.vasterad.com/themes/trizzy/shopping-cart.html	(from https://www.vasterad.com/themes/trizzy/)
12:17:01	17300/17300	---MCZ	200	added ('OK')	text/html	etag:W/%22608203aa-4394%22	https://www.vasterad.com/themes/trizzy/wishlist.html	C:/Mis%20lugares%20Web/prueba/blogs5/www.vasterad.com/themes/trizzy/wishlist.html	(from https://www.vasterad.com/themes/trizzy/)
12:17:01	31105/31105	---MCZ	200	added ('OK')	text/html	etag:W/%226082039d-7981%22	https://www.vasterad.com/themes/trizzy/checkout-billing-details.html	C:/Mis%20lugares%20Web/prueba/blogs5/www.vasterad.com/themes/trizzy/checkout-billing-details.html	(from https://www.vasterad.com/themes/trizzy/)
12:17:02	18246/18246	---MCZ	200	added ('OK')	text/html	etag:W/%22608203a2-4746%22	https://www.vasterad.com/themes/trizzy/my-account.html	C:/Mis%20lugares%20Web/prueba/blogs5/www.vasterad.com/themes/trizzy/my-account.html	(from https://www.vasterad.com/themes/trizzy/)
